reportDate,productName,category,quantity,unitPrice,otherExpenses,totalAmount,customerName,paymentMethod,status,orderNumber,notes
2022-01-02,Alternator,Electrical system,5,7105.17,276.96,35525.85,Walk-in Customer,GCash,Completed,ORD820026,Automated migration
2022-01-02,Alternator,Electrical system,0,8144.71,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD820027,Automated migration
2022-01-02,Clutch Kit,Transmission system,3,7506.3,242.71,22518.9,Walk-in Customer,GCash,Completed,ORD820028,Automated migration
2022-01-02,Spark Plug,Ignition system,7,513.37,95.2,3593.59,Retail Client,Check,Completed,ORD820029,Automated migration
2022-01-02,Battery,Electrical system,6,6335.12,364.54,38010.72,Walk-in Customer,Cash,Completed,ORD820030,Automated migration
2022-01-02,Battery,Electrical system,5,8002.96,54.63,40014.8,Retail Client,GCash,Completed,ORD820031,Automated migration
2022-01-02,Brake Pad,Brake system,6,1622.02,231.31,9732.12,Retail Client,Check,Completed,ORD820032,Automated migration
2022-01-02,Air Filter,Engine system,8,367.21,484.5,2937.68,Retail Client,GCash,Completed,ORD820033,Automated migration
2022-01-02,Shock Absorber,Suspension system,7,2961.86,200.52,20733.02,Retail Client,GCash,Completed,ORD820034,Automated migration
2022-01-02,Air Filter,Engine system,6,253.04,392.04,1518.24,Wholesale Client,Bank Transfer,Completed,ORD820035,Automated migration
2022-01-02,Clutch Kit,Transmission system,7,6393.17,148.35,44752.19,Retail Client,Cash,Completed,ORD820036,Automated migration
2022-01-02,Air Filter,Engine system,0,316.84,0.0,0.0,Walk-in Customer,GCash,Completed,ORD820037,Automated migration
2022-01-02,Clutch Kit,Transmission system,1,12662.08,34.26,12662.08,Retail Client,GCash,Completed,ORD820038,Automated migration
2022-01-02,Alternator,Electrical system,3,9894.6,19.87,29683.8,Retail Client,Check,Completed,ORD820039,Automated migration
2022-01-02,Radiator,Cooling system,3,7018.36,157.09,21055.08,Wholesale Client,Check,Completed,ORD820040,Automated migration
2022-01-02,Radiator,Cooling system,7,4897.06,375.93,34279.42,Retail Client,Cash,Completed,ORD820041,Automated migration
2022-01-02,Oil Filter,Engine system,1,118.32,106.58,118.32,Wholesale Client,GCash,Completed,ORD820042,Automated migration
2022-01-02,Alternator,Electrical system,3,8847.64,78.87,26542.92,Walk-in Customer,Bank Transfer,Completed,ORD820043,Automated migration
2022-01-02,Clutch Kit,Transmission system,4,13385.8,51.79,53543.2,Retail Client,Bank Transfer,Completed,ORD820044,Automated migration
2022-01-02,Alternator,Electrical system,8,7777.24,140.88,62217.92,Retail Client,Bank Transfer,Completed,ORD820045,Automated migration
2022-01-02,Radiator,Cooling system,8,5931.19,452.67,47449.52,Retail Client,Cash,Completed,ORD820046,Automated migration
2022-01-03,Radiator,Cooling system,0,3021.27,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD820047,Automated migration
2022-01-03,Shock Absorber,Suspension system,8,5175.5,280.45,41404.0,Retail Client,Cash,Completed,ORD820048,Automated migration
2022-01-03,Clutch Kit,Transmission system,0,12511.36,0.0,0.0,Walk-in Customer,GCash,Completed,ORD820049,Automated migration
2022-01-03,Brake Pad,Brake system,0,1908.99,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD820050,Automated migration
2022-01-03,Spark Plug,Ignition system,1,309.16,279.94,309.16,Wholesale Client,GCash,Completed,ORD820051,Automated migration
2022-01-03,Brake Pad,Brake system,2,3227.26,12.39,6454.52,Walk-in Customer,Bank Transfer,Completed,ORD820052,Automated migration
2022-01-03,Spark Plug,Ignition system,4,221.64,350.64,886.56,Wholesale Client,Cash,Completed,ORD820053,Automated migration
2022-01-03,Spark Plug,Ignition system,3,517.46,230.15,1552.38,Wholesale Client,GCash,Completed,ORD820054,Automated migration
2022-01-03,Air Filter,Engine system,3,279.69,139.3,839.07,Retail Client,Bank Transfer,Completed,ORD820055,Automated migration
2022-01-03,Clutch Kit,Transmission system,6,11115.66,421.83,66693.96,Wholesale Client,Cash,Completed,ORD820056,Automated migration
2022-01-03,Radiator,Cooling system,2,6483.54,491.78,12967.08,Retail Client,Cash,Completed,ORD820057,Automated migration
2022-01-03,Fuel Pump,Fuel system,5,4463.77,492.12,22318.85,Retail Client,Check,Completed,ORD820058,Automated migration
2022-01-03,Radiator,Cooling system,0,7252.71,0.0,0.0,Retail Client,GCash,Completed,ORD820059,Automated migration
2022-01-03,Battery,Electrical system,1,8744.37,460.39,8744.37,Walk-in Customer,Bank Transfer,Completed,ORD820060,Automated migration
2022-01-03,Radiator,Cooling system,8,4855.71,204.2,38845.68,Wholesale Client,Bank Transfer,Completed,ORD820061,Automated migration
2022-01-03,Spark Plug,Ignition system,6,449.22,189.57,2695.32,Walk-in Customer,GCash,Completed,ORD820062,Automated migration
2022-01-03,Battery,Electrical system,8,8168.63,151.94,65349.04,Retail Client,Check,Completed,ORD820063,Automated migration
2022-01-03,Shock Absorber,Suspension system,7,3989.72,106.85,27928.04,Wholesale Client,GCash,Completed,ORD820064,Automated migration
2022-01-03,Radiator,Cooling system,8,6983.12,309.63,55864.96,Retail Client,GCash,Completed,ORD820065,Automated migration
2022-01-03,Spark Plug,Ignition system,3,216.31,23.11,648.93,Wholesale Client,Cash,Completed,ORD820066,Automated migration
2022-01-03,Battery,Electrical system,3,7591.73,191.99,22775.19,Wholesale Client,GCash,Completed,ORD820067,Automated migration
2022-01-03,Air Filter,Engine system,1,355.68,109.42,355.68,Walk-in Customer,Check,Completed,ORD820068,Automated migration
2022-01-03,Clutch Kit,Transmission system,3,13257.23,60.68,39771.69,Retail Client,Check,Completed,ORD820069,Automated migration
2022-01-03,Shock Absorber,Suspension system,8,3920.33,453.43,31362.64,Wholesale Client,GCash,Completed,ORD820070,Automated migration
2022-01-03,Shock Absorber,Suspension system,4,5383.0,419.93,21532.0,Wholesale Client,Check,Completed,ORD820071,Automated migration
2022-01-04,Shock Absorber,Suspension system,1,5210.95,117.25,5210.95,Wholesale Client,Bank Transfer,Completed,ORD820072,Automated migration
2022-01-04,Brake Pad,Brake system,2,1731.9,346.97,3463.8,Walk-in Customer,GCash,Completed,ORD820073,Automated migration
2022-01-04,Battery,Electrical system,6,5654.41,232.96,33926.46,Retail Client,GCash,Completed,ORD820074,Automated migration
2022-01-04,Battery,Electrical system,0,8283.66,0.0,0.0,Walk-in Customer,Check,Completed,ORD820075,Automated migration
2022-01-04,Air Filter,Engine system,5,259.72,194.99,1298.6,Wholesale Client,GCash,Completed,ORD820076,Automated migration
2022-01-04,Spark Plug,Ignition system,4,346.13,14.51,1384.52,Wholesale Client,Check,Completed,ORD820077,Automated migration
2022-01-04,Shock Absorber,Suspension system,2,6413.25,267.06,12826.5,Wholesale Client,Cash,Completed,ORD820078,Automated migration
2022-01-04,Battery,Electrical system,2,8334.26,90.86,16668.52,Wholesale Client,Check,Completed,ORD820079,Automated migration
2022-01-04,Spark Plug,Ignition system,7,297.08,380.61,2079.56,Wholesale Client,Bank Transfer,Completed,ORD820080,Automated migration
2022-01-04,Radiator,Cooling system,1,5821.84,374.51,5821.84,Retail Client,Bank Transfer,Completed,ORD820081,Automated migration
2022-01-04,Alternator,Electrical system,0,10771.17,0.0,0.0,Retail Client,GCash,Completed,ORD820082,Automated migration
2022-01-04,Oil Filter,Engine system,2,159.64,236.78,319.28,Retail Client,GCash,Completed,ORD820083,Automated migration
2022-01-04,Radiator,Cooling system,5,4006.73,303.62,20033.65,Walk-in Customer,Cash,Completed,ORD820084,Automated migration
2022-01-04,Radiator,Cooling system,1,6472.11,464.44,6472.11,Walk-in Customer,Check,Completed,ORD820085,Automated migration
2022-01-04,Spark Plug,Ignition system,1,416.44,415.29,416.44,Retail Client,Cash,Completed,ORD820086,Automated migration
2022-01-04,Oil Filter,Engine system,1,299.06,282.97,299.06,Retail Client,Bank Transfer,Completed,ORD820087,Automated migration
2022-01-05,Fuel Pump,Fuel system,1,4776.82,170.62,4776.82,Wholesale Client,Check,Completed,ORD820088,Automated migration
2022-01-05,Battery,Electrical system,5,7177.93,414.35,35889.65,Walk-in Customer,GCash,Completed,ORD820089,Automated migration
2022-01-05,Brake Pad,Brake system,8,3420.59,135.04,27364.72,Walk-in Customer,Check,Completed,ORD820090,Automated migration
2022-01-05,Battery,Electrical system,4,5611.52,122.75,22446.08,Retail Client,Bank Transfer,Completed,ORD820091,Automated migration
2022-01-05,Spark Plug,Ignition system,7,406.43,334.09,2845.01,Wholesale Client,Cash,Completed,ORD820092,Automated migration
2022-01-05,Fuel Pump,Fuel system,2,4693.97,177.41,9387.94,Wholesale Client,Bank Transfer,Completed,ORD820093,Automated migration
2022-01-05,Oil Filter,Engine system,4,238.95,258.31,955.8,Retail Client,Cash,Completed,ORD820094,Automated migration
2022-01-05,Battery,Electrical system,7,6775.88,120.16,47431.16,Wholesale Client,Check,Completed,ORD820095,Automated migration
2022-01-05,Air Filter,Engine system,1,258.85,202.2,258.85,Retail Client,Bank Transfer,Completed,ORD820096,Automated migration
2022-01-05,Shock Absorber,Suspension system,8,4389.15,212.75,35113.2,Walk-in Customer,Bank Transfer,Completed,ORD820097,Automated migration
2022-01-05,Shock Absorber,Suspension system,4,3379.8,115.27,13519.2,Walk-in Customer,GCash,Completed,ORD820098,Automated migration
2022-01-05,Alternator,Electrical system,8,11754.39,345.08,94035.12,Retail Client,GCash,Completed,ORD820099,Automated migration
2022-01-05,Radiator,Cooling system,8,6580.74,490.26,52645.92,Retail Client,Bank Transfer,Completed,ORD820100,Automated migration
2022-01-05,Fuel Pump,Fuel system,2,3860.2,354.01,7720.4,Retail Client,Bank Transfer,Completed,ORD820101,Automated migration
2022-01-05,Air Filter,Engine system,8,258.43,472.04,2067.44,Walk-in Customer,Check,Completed,ORD820102,Automated migration
2022-01-05,Air Filter,Engine system,4,293.88,220.23,1175.52,Retail Client,Cash,Completed,ORD820103,Automated migration
2022-01-05,Shock Absorber,Suspension system,1,5699.52,200.35,5699.52,Retail Client,Cash,Completed,ORD820104,Automated migration
2022-01-05,Brake Pad,Brake system,4,1395.92,124.1,5583.68,Walk-in Customer,Check,Completed,ORD820105,Automated migration
2022-01-05,Clutch Kit,Transmission system,6,9054.63,221.36,54327.78,Walk-in Customer,Check,Completed,ORD820106,Automated migration
2022-01-05,Oil Filter,Engine system,0,252.41,0.0,0.0,Walk-in Customer,Cash,Completed,ORD820107,Automated migration
2022-01-05,Spark Plug,Ignition system,4,447.19,78.53,1788.76,Retail Client,Cash,Completed,ORD820108,Automated migration
2022-01-05,Air Filter,Engine system,6,290.1,296.91,1740.6,Wholesale Client,Cash,Completed,ORD820109,Automated migration
2022-01-06,Radiator,Cooling system,7,3427.08,116.71,23989.56,Wholesale Client,GCash,Completed,ORD820110,Automated migration
2022-01-06,Alternator,Electrical system,8,8124.05,74.49,64992.4,Wholesale Client,GCash,Completed,ORD820111,Automated migration
2022-01-06,Air Filter,Engine system,2,358.53,297.52,717.06,Walk-in Customer,Bank Transfer,Completed,ORD820112,Automated migration
2022-01-06,Alternator,Electrical system,7,10443.39,349.87,73103.73,Wholesale Client,Check,Completed,ORD820113,Automated migration
2022-01-06,Alternator,Electrical system,0,11447.11,0.0,0.0,Walk-in Customer,Bank Transfer,Completed,ORD820114,Automated migration
2022-01-06,Air Filter,Engine system,1,245.78,337.15,245.78,Walk-in Customer,Cash,Completed,ORD820115,Automated migration
2022-01-06,Oil Filter,Engine system,0,290.78,0.0,0.0,Retail Client,Check,Completed,ORD820116,Automated migration
2022-01-06,Radiator,Cooling system,2,8981.67,217.94,17963.34,Wholesale Client,Cash,Completed,ORD820117,Automated migration
2022-01-06,Fuel Pump,Fuel system,6,3999.89,335.07,23999.34,Retail Client,Bank Transfer,Completed,ORD820118,Automated migration
2022-01-06,Shock Absorber,Suspension system,4,4981.63,200.23,19926.52,Walk-in Customer,Cash,Completed,ORD820119,Automated migration
2022-01-06,Alternator,Electrical system,5,8261.99,57.96,41309.95,Wholesale Client,Cash,Completed,ORD820120,Automated migration
2022-01-06,Battery,Electrical system,0,4937.91,0.0,0.0,Wholesale Client,Check,Completed,ORD820121,Automated migration
2022-01-06,Air Filter,Engine system,3,253.41,65.51,760.23,Wholesale Client,Check,Completed,ORD820122,Automated migration
2022-01-06,Alternator,Electrical system,0,11865.73,0.0,0.0,Walk-in Customer,GCash,Completed,ORD820123,Automated migration
2022-01-06,Radiator,Cooling system,8,3082.05,204.0,24656.4,Retail Client,Cash,Completed,ORD820124,Automated migration
2022-01-06,Alternator,Electrical system,2,9491.88,358.3,18983.76,Walk-in Customer,Bank Transfer,Completed,ORD820125,Automated migration
2022-01-07,Shock Absorber,Suspension system,7,3096.79,275.63,21677.53,Wholesale Client,GCash,Completed,ORD820126,Automated migration
2022-01-07,Alternator,Electrical system,4,10863.38,427.21,43453.52,Wholesale Client,Bank Transfer,Completed,ORD820127,Automated migration
2022-01-07,Radiator,Cooling system,4,8024.86,289.96,32099.44,Walk-in Customer,Check,Completed,ORD820128,Automated migration
2022-01-07,Shock Absorber,Suspension system,8,4179.54,166.22,33436.32,Walk-in Customer,Check,Completed,ORD820129,Automated migration
2022-01-07,Fuel Pump,Fuel system,3,6913.49,119.4,20740.47,Wholesale Client,GCash,Completed,ORD820130,Automated migration
2022-01-07,Air Filter,Engine system,5,348.94,352.61,1744.7,Wholesale Client,Check,Completed,ORD820131,Automated migration
2022-01-07,Shock Absorber,Suspension system,0,2568.11,0.0,0.0,Walk-in Customer,Bank Transfer,Completed,ORD820132,Automated migration
2022-01-07,Shock Absorber,Suspension system,1,4366.78,228.46,4366.78,Walk-in Customer,GCash,Completed,ORD820133,Automated migration
2022-01-07,Brake Pad,Brake system,1,2279.83,484.6,2279.83,Wholesale Client,Check,Completed,ORD820134,Automated migration
2022-01-07,Fuel Pump,Fuel system,8,4210.04,158.33,33680.32,Walk-in Customer,Check,Completed,ORD820135,Automated migration
2022-01-07,Oil Filter,Engine system,1,158.69,342.2,158.69,Wholesale Client,GCash,Completed,ORD820136,Automated migration
2022-01-07,Battery,Electrical system,1,7801.85,351.95,7801.85,Retail Client,Check,Completed,ORD820137,Automated migration
2022-01-07,Radiator,Cooling system,0,3275.95,0.0,0.0,Retail Client,Bank Transfer,Completed,ORD820138,Automated migration
2022-01-07,Fuel Pump,Fuel system,6,3155.06,265.58,18930.36,Walk-in Customer,GCash,Completed,ORD820139,Automated migration
2022-01-07,Brake Pad,Brake system,1,2601.83,191.27,2601.83,Walk-in Customer,GCash,Completed,ORD820140,Automated migration
2022-01-07,Oil Filter,Engine system,2,158.05,318.95,316.1,Wholesale Client,Bank Transfer,Completed,ORD820141,Automated migration
2022-01-07,Shock Absorber,Suspension system,4,5049.25,78.99,20197.0,Wholesale Client,Bank Transfer,Completed,ORD820142,Automated migration
2022-01-07,Battery,Electrical system,4,6284.18,151.06,25136.72,Wholesale Client,Check,Completed,ORD820143,Automated migration
2022-01-07,Spark Plug,Ignition system,6,407.37,287.41,2444.22,Walk-in Customer,Bank Transfer,Completed,ORD820144,Automated migration
2022-01-07,Battery,Electrical system,4,4040.49,432.53,16161.96,Walk-in Customer,Cash,Completed,ORD820145,Automated migration
2022-01-07,Radiator,Cooling system,3,6642.39,176.16,19927.17,Walk-in Customer,GCash,Completed,ORD820146,Automated migration
2022-01-07,Brake Pad,Brake system,1,3277.83,323.17,3277.83,Wholesale Client,Check,Completed,ORD820147,Automated migration
2022-01-07,Oil Filter,Engine system,5,283.09,45.07,1415.45,Wholesale Client,Bank Transfer,Completed,ORD820148,Automated migration
2022-01-07,Brake Pad,Brake system,3,1503.97,269.7,4511.91,Wholesale Client,Bank Transfer,Completed,ORD820149,Automated migration
2022-01-07,Radiator,Cooling system,7,8804.3,147.57,61630.1,Wholesale Client,Cash,Completed,ORD820150,Automated migration
2022-01-08,Brake Pad,Brake system,3,3178.32,362.11,9534.96,Wholesale Client,Bank Transfer,Completed,ORD820151,Automated migration
2022-01-08,Battery,Electrical system,0,5322.29,0.0,0.0,Retail Client,Check,Completed,ORD820152,Automated migration
2022-01-08,Radiator,Cooling system,6,7934.5,470.15,47607.0,Retail Client,GCash,Completed,ORD820153,Automated migration
2022-01-08,Air Filter,Engine system,8,265.6,305.04,2124.8,Walk-in Customer,Cash,Completed,ORD820154,Automated migration
2022-01-08,Radiator,Cooling system,6,3700.06,22.67,22200.36,Retail Client,Bank Transfer,Completed,ORD820155,Automated migration
2022-01-08,Alternator,Electrical system,1,8174.0,268.77,8174.0,Wholesale Client,Check,Completed,ORD820156,Automated migration
2022-01-08,Clutch Kit,Transmission system,6,10286.06,363.3,61716.36,Wholesale Client,Cash,Completed,ORD820157,Automated migration
2022-01-08,Oil Filter,Engine system,6,334.76,139.87,2008.56,Walk-in Customer,Bank Transfer,Completed,ORD820158,Automated migration
2022-01-08,Shock Absorber,Suspension system,7,6277.5,427.73,43942.5,Retail Client,Bank Transfer,Completed,ORD820159,Automated migration
2022-01-08,Air Filter,Engine system,6,255.18,484.1,1531.08,Wholesale Client,Cash,Completed,ORD820160,Automated migration
2022-01-08,Oil Filter,Engine system,0,112.64,0.0,0.0,Wholesale Client,GCash,Completed,ORD820161,Automated migration
2022-01-08,Oil Filter,Engine system,3,117.15,382.58,351.45,Retail Client,GCash,Completed,ORD820162,Automated migration
2022-01-08,Fuel Pump,Fuel system,2,6048.9,297.99,12097.8,Wholesale Client,GCash,Completed,ORD820163,Automated migration
2022-01-09,Radiator,Cooling system,2,3659.56,433.22,7319.12,Retail Client,Cash,Completed,ORD820164,Automated migration
2022-01-09,Spark Plug,Ignition system,5,157.1,132.68,785.5,Retail Client,Check,Completed,ORD820165,Automated migration
2022-01-09,Alternator,Electrical system,7,9241.38,181.02,64689.66,Walk-in Customer,Cash,Completed,ORD820166,Automated migration
2022-01-09,Clutch Kit,Transmission system,3,13508.74,21.68,40526.22,Walk-in Customer,Bank Transfer,Completed,ORD820167,Automated migration
2022-01-09,Air Filter,Engine system,0,399.72,0.0,0.0,Wholesale Client,Check,Completed,ORD820168,Automated migration
2022-01-09,Shock Absorber,Suspension system,7,2330.71,40.4,16314.97,Walk-in Customer,GCash,Completed,ORD820169,Automated migration
2022-01-09,Brake Pad,Brake system,4,2635.93,292.68,10543.72,Walk-in Customer,Bank Transfer,Completed,ORD820170,Automated migration
2022-01-09,Oil Filter,Engine system,8,173.72,252.78,1389.76,Wholesale Client,Cash,Completed,ORD820171,Automated migration
2022-01-09,Clutch Kit,Transmission system,3,8870.63,444.05,26611.89,Wholesale Client,Bank Transfer,Completed,ORD820172,Automated migration
2022-01-09,Battery,Electrical system,6,7648.06,156.27,45888.36,Wholesale Client,Bank Transfer,Completed,ORD820173,Automated migration
2022-01-09,Brake Pad,Brake system,7,1354.41,415.89,9480.87,Retail Client,Check,Completed,ORD820174,Automated migration
2022-01-09,Fuel Pump,Fuel system,2,5003.67,293.23,10007.34,Walk-in Customer,Bank Transfer,Completed,ORD820175,Automated migration
2022-01-09,Battery,Electrical system,5,8368.04,470.56,41840.2,Wholesale Client,Cash,Completed,ORD820176,Automated migration
2022-01-09,Oil Filter,Engine system,4,187.91,288.96,751.64,Retail Client,GCash,Completed,ORD820177,Automated migration
2022-01-09,Spark Plug,Ignition system,1,307.55,278.13,307.55,Retail Client,Bank Transfer,Completed,ORD820178,Automated migration
2022-01-09,Battery,Electrical system,8,8872.73,409.21,70981.84,Walk-in Customer,Cash,Completed,ORD820179,Automated migration
2022-01-09,Air Filter,Engine system,2,254.65,381.2,509.3,Wholesale Client,Bank Transfer,Completed,ORD820180,Automated migration
2022-01-09,Brake Pad,Brake system,2,2502.54,200.39,5005.08,Retail Client,Cash,Completed,ORD820181,Automated migration
2022-01-09,Clutch Kit,Transmission system,3,8385.75,226.82,25157.25,Retail Client,Bank Transfer,Completed,ORD820182,Automated migration
2022-01-09,Fuel Pump,Fuel system,1,6475.04,77.79,6475.04,Walk-in Customer,Cash,Completed,ORD820183,Automated migration
2022-01-10,Shock Absorber,Suspension system,6,4185.48,221.02,25112.88,Wholesale Client,GCash,Completed,ORD820184,Automated migration
2022-01-10,Fuel Pump,Fuel system,6,2999.0,339.11,17994.0,Walk-in Customer,Check,Completed,ORD820185,Automated migration
2022-01-10,Air Filter,Engine system,3,279.05,299.66,837.15,Retail Client,GCash,Completed,ORD820186,Automated migration
2022-01-10,Spark Plug,Ignition system,2,493.87,144.72,987.74,Retail Client,Cash,Completed,ORD820187,Automated migration
2022-01-10,Battery,Electrical system,2,4645.93,266.29,9291.86,Retail Client,Bank Transfer,Completed,ORD820188,Automated migration
2022-01-10,Battery,Electrical system,0,6181.1,0.0,0.0,Wholesale Client,Cash,Completed,ORD820189,Automated migration
2022-01-10,Oil Filter,Engine system,6,243.35,354.75,1460.1,Wholesale Client,Bank Transfer,Completed,ORD820190,Automated migration
2022-01-10,Battery,Electrical system,0,8831.0,0.0,0.0,Retail Client,Check,Completed,ORD820191,Automated migration
2022-01-10,Alternator,Electrical system,6,11222.42,121.66,67334.52,Walk-in Customer,Check,Completed,ORD820192,Automated migration
2022-01-10,Battery,Electrical system,4,7729.02,110.79,30916.08,Retail Client,Cash,Completed,ORD820193,Automated migration
2022-01-10,Clutch Kit,Transmission system,8,6745.13,388.11,53961.04,Wholesale Client,GCash,Completed,ORD820194,Automated migration
2022-01-10,Alternator,Electrical system,2,8279.84,86.75,16559.68,Retail Client,Cash,Completed,ORD820195,Automated migration
2022-01-10,Shock Absorber,Suspension system,7,5395.01,379.94,37765.07,Wholesale Client,Bank Transfer,Completed,ORD820196,Automated migration
2022-01-10,Brake Pad,Brake system,7,1357.06,221.1,9499.42,Wholesale Client,Bank Transfer,Completed,ORD820197,Automated migration
2022-01-10,Fuel Pump,Fuel system,8,2833.86,230.87,22670.88,Retail Client,Cash,Completed,ORD820198,Automated migration
2022-01-10,Radiator,Cooling system,1,6868.0,488.68,6868.0,Retail Client,Check,Completed,ORD820199,Automated migration
2022-01-11,Clutch Kit,Transmission system,0,9047.6,0.0,0.0,Walk-in Customer,GCash,Completed,ORD820200,Automated migration
2022-01-11,Oil Filter,Engine system,7,225.34,478.86,1577.38,Wholesale Client,Cash,Completed,ORD820201,Automated migration
2022-01-11,Alternator,Electrical system,8,10230.64,19.57,81845.12,Walk-in Customer,Check,Completed,ORD820202,Automated migration
2022-01-11,Clutch Kit,Transmission system,8,10488.25,181.95,83906.0,Wholesale Client,Check,Completed,ORD820203,Automated migration
2022-01-11,Fuel Pump,Fuel system,0,6051.52,0.0,0.0,Walk-in Customer,Bank Transfer,Completed,ORD820204,Automated migration
2022-01-11,Fuel Pump,Fuel system,1,5010.83,193.28,5010.83,Wholesale Client,GCash,Completed,ORD820205,Automated migration
2022-01-11,Alternator,Electrical system,2,11583.73,155.12,23167.46,Walk-in Customer,Check,Completed,ORD820206,Automated migration
2022-01-11,Oil Filter,Engine system,1,177.4,188.34,177.4,Wholesale Client,GCash,Completed,ORD820207,Automated migration
2022-01-11,Battery,Electrical system,8,5809.14,181.3,46473.12,Retail Client,GCash,Completed,ORD820208,Automated migration
2022-01-11,Shock Absorber,Suspension system,3,3019.44,68.78,9058.32,Retail Client,Bank Transfer,Completed,ORD820209,Automated migration
2022-01-11,Clutch Kit,Transmission system,8,12516.08,441.84,100128.64,Retail Client,Bank Transfer,Completed,ORD820210,Automated migration
2022-01-11,Oil Filter,Engine system,6,138.56,90.42,831.36,Walk-in Customer,GCash,Completed,ORD820211,Automated migration
2022-01-11,Air Filter,Engine system,6,272.86,359.79,1637.16,Wholesale Client,Bank Transfer,Completed,ORD820212,Automated migration
2022-01-11,Spark Plug,Ignition system,8,257.63,482.8,2061.04,Wholesale Client,GCash,Completed,ORD820213,Automated migration
2022-01-11,Oil Filter,Engine system,7,215.42,140.89,1507.94,Wholesale Client,Check,Completed,ORD820214,Automated migration
2022-01-11,Spark Plug,Ignition system,2,542.85,26.09,1085.7,Wholesale Client,Bank Transfer,Completed,ORD820215,Automated migration
2022-01-11,Clutch Kit,Transmission system,1,7565.57,381.56,7565.57,Wholesale Client,Check,Completed,ORD820216,Automated migration
2022-01-11,Battery,Electrical system,1,8732.07,111.02,8732.07,Wholesale Client,Bank Transfer,Completed,ORD820217,Automated migration
2022-01-11,Battery,Electrical system,0,5982.27,0.0,0.0,Wholesale Client,GCash,Completed,ORD820218,Automated migration
2022-01-11,Alternator,Electrical system,5,8122.69,159.34,40613.45,Retail Client,Bank Transfer,Completed,ORD820219,Automated migration
2022-01-11,Brake Pad,Brake system,0,1859.82,0.0,0.0,Wholesale Client,GCash,Completed,ORD820220,Automated migration
